,name,name:en,inscription,geometry
0,Григорію Сковороді,Hryhorii Skovoroda,,POINT (30.5179176 50.4646117)
1,Три сестры - Тры сястры - Три сестри,Three sisters,,POINT (31.7817307 52.1119993)
2,Острая Могила,,,POINT (39.3713631 48.5152164)
3,Танк Т-34-85,,"«Этот танк участвовал в жестоких битвах против немецко-фашистских захватчиков на Ворошиловградской земле и с боями прошел дорогами войны, освобождая от фашистов Румынию, Болгарию, Югославию, Чехословакию»",POINT (39.3590124 48.5216637)
4,Тарасу Шевченку,Taras Shevchenko,,POINT (30.5130009 50.4417559)
5,О.С. Пушкін,,Пушкіну — український народ,POINT (30.4533383 50.4538316)
6,Пам’ятник В.І. Далю,,,POINT (39.299788 48.5789395)
7,Памятник воинам-освободителям,,,POINT (39.3087921 48.5679606)
8,Пам'ятник жертвам ОУН-УПА,,,POINT (39.3091381 48.5662147)
9,В.И. Ленин,,,POINT (39.3080972 48.5718709)
10,Пам’ятник В.І. Леніну,,,POINT (39.3000269 48.5773795)
11,"Памятник железнодорожникам, погибшим в годы Второй мировой войны",,,POINT (39.2932118 48.5777875)
12,Т.Г. Шевченко,,,POINT (39.308618 48.5688568)
13,Пам’ятник К.Є. Ворошилову,Kliment Voroshilov,,POINT (39.2975576 48.5717928)
14,Комбат,,,POINT (38.9745004 48.6510102)
15,Меморіал Вічної Слави,Monument of Eternal Glory at the Tomb of the Unknown Soldier,,POINT (30.5532387 50.439123)
16,Памятник Сергею Бубке,Monument to Sergey Bubka,,POINT (37.8021627 48.0193182)
17,Артему,Artem,,POINT (37.8018221 48.0172303)
18,Кобзону,,,POINT (37.8052122 48.023324)
19,Памятник Джону Юзу,Monument to John Hughes,,POINT (37.8021162 48.0137916)
20,"Викладачам, вихованцям та співробітникам ДПі, що загинули у роки війни",,,POINT (37.8020092 48.0127071)
21,Жертвам фашизму,,,POINT (37.7808089 47.9824238)
22,Паротяг 9П-17485,Locomotive,,POINT (30.4600442 50.4487684)
23,Пам'ятник Воїнам Афганістану,,,POINT (30.7587973 46.4793899)
